Micrograph # ,,Scan Date,,Sample #,,Condition,,Tendon Origin,,Animal ID,,Avg. YM (Mpa),Avg. Width (nm),Avg. Height (nm)
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3 (.396),,4.11.25,,54,,GC,,Gastrocnemius,,M33 GT-L2,,4.19,89.9278,41
4 (.466),,4.11.25,,54,,GC,,Gastrocnemius,,M33 GT-L2,,3.755,90.8508,33.31
7 (.930),,4.11.25,,54,,GC,,Gastrocnemius,,M33 GT-L2,,4.32,78.231,34.09
4 (.290),,4.15.25,,48,,GC,,Gastrocnemius,,M35 GT-l2,,5.189,158.25636,70.59
8 (.861),,4.15.25,,48,,GC,,Gastrocnemius,,M35 GT-l2,,3.719,176.6107962,73.25
9 (.881),,4.15.25,,48,,GC,,Gastrocnemius,,M35 GT-l2,,5.549,163.8388036,69.6
1 (.162),,4.18.25,,47,,SF,,Quadricep,,M23 QU-L2,,2.53,207.475304,111.7
2 (.342),,4.18.25,,47,,SF,,Quadricep,,M23 QU-L2,,1.421,224.3020154,124.7
3 (.386),,4.18.25,,47,,SF,,Quadricep,,M23 QU-L2,,2.242,212.2808233,104
4 (.589),,4.18.25,,47,,SF,,Quadricep,,M23 QU-L2,,2.257,272.442159,153.9
6 (.611),,4.18.25,,47,,SF,,Quadricep,,M23 QU-L2,,2.88,191.4876167,101.5
7 (.682),,4.18.25,,47,,SF,,Quadricep,,M23 QU-L2,,1.8101,228.6815229,103.3
8 (.686),,4.18.25,,47,,SF,,Quadricep,,M23 QU-L2,,1.942,266.6109379,158.8
9 (.776),,4.18.25,,47,,SF,,Quadricep,,M23 QU-L2,,2.283,208.2727469,102.2
10 (.913),,4.18.25,,47,,SF,,Quadricep,,M23 QU-L2,,2.669,170.8746441,97.1
11 (.985),,4.18.25,,47,,SF,,Quadricep,,M23 QU-L2,,2.186,252.0449675,144.6
1 (.283),,4.30.25,,61,,GC,,Quadricep,,M35 QU-L2,,2.647,198.724075,126.6
1.2 (.283),,4.30.25,,61,,GC,,Quadricep,,M35 QU-L2,,1.669,227.1939561,93
2 (.296),,4.30.25,,61,,GC,,Quadricep,,M35 QU-L2,,3.862,168.1653981,67.82
3 (.394),,4.30.25,,61,,GC,,Quadricep,,M35 QU-L2,,4.03,166.8940171,66.25
4 (.418),,4.30.25,,61,,GC,,Quadricep,,M35 QU-L2,,5.14,162.8507284,38.95
6 (.678),,4.30.25,,61,,GC,,Quadricep,,M35 QU-L2,,3.33,172.0212184,87.67
7 (.854),,4.30.25,,61,,GC,,Quadricep,,M35 QU-L2,,2.953,176.7021147,86.43
8 (.878),,4.30.25,,61,,GC,,Quadricep,,M35 QU-L2,,3.8,177.4785173,73.71
9 (.959),,4.30.25,,61,,GC,,Quadricep,,M35 QU-L2,,2.85,164.7120355,81.86
1 (.233),,5.2.25,,47.2,,SF,,Quadricep,,M23 QU-L2,,2.469,126.7061336,51.54
2 (.235),,5.2.25,,47.2,,SF,,Quadricep,,M23 QU-L2,,3.101,107.0491082,36.29
3 (.527),,5.2.25,,47.2,,SF,,Quadricep,,M23 QU-L2,,2.832,190.7577061,94.4
